"book","chapter","verse","edition","text"
"Gal","1","01","3.01","Παῦλος ἀπόστολος οὐκ ἀπ᾽ ἀνθρώπων οὐδὲ δι᾽ ἀνθρώπου ἀλλὰ διὰ Ἰησοῦ Χριστοῦ τοῦ ἐγείραντος αὑτὸν ἐκ νεκρῶν"
"Gal","1","02","3.01","καὶ οἱ σὺν ἐμοὶ πάντες ἀδελφοί ταῖς ἐκκλησίαις τῆς Γαλατίας·"
"Gal","1","03","3.01","χάρις ὑμῖν καὶ εἰρήνη ἀπὸ θεοῦ πατρὸς καὶ κυρίου ἡμῶν Ἰησοῦ Χριστοῦ."
"Gal","1","06","3.01","θαυμάζω ὅτι οὕτως ταχέως μετατίθεσθε ἀπὸ τοῦ καλέσαντος ὑμᾶς εἰς (τὴν) χάριν εἰς ἕτερον εὐαγγέλιον"
"Gal","1","07","3.01","ὃ οὐκ ἔστιν εἰ μή τινές εἰσιν οἱ ταράσσοντες ὑμᾶς καὶ θέλοντες μεταστρέψαι τὸ εὐαγγέλιον τοῦ Χριστοῦ."
"Gal","1","08","3.01","κἂν τε ἡμεῖς ἢ ἄγγελος εὐαγγελίσηται ὑμῖν"
"Gal","1","09","3.01","παρ᾽ ὃ παρελάβετε ἀνάθεμα ἔστω."
"Gal","1","10","3.01","ἄρτι γὰρ ἀνθρώπους πείθω ἢ τὸν θεόν; ἢ ζητῶ ἀνθρώποις ἀρέσκειν; εἰ ἀνθρώποις ἤρεσκον Χριστοῦ δοῦλος οὐκ ἂν ἤμην."
"Gal","1","11","3.01","γνωρίζω γὰρ ὑμῖν ἀδελφοί τὸ εὐαγγέλιον τὸ εὐαγγελισθὲν ὑπ᾽ ἐμοῦ ὅτι οὐκ ἔστι κατὰ ἄνθρωπον·"
"Gal","1","12","3.01","οὐδὲ γὰρ ἐγὼ παρὰ ἀνθρώπου παρέλαβον αὐτό ἀλλὰ δι᾽ ἀποκαλύψεως Ἰησοῦ Χριστοῦ."
"Gal","1","15","3.01","ὅτε δὲ εὐδόκησεν ὁ ἀφορίσας με ἐκ κοιλίας μητρός μου καὶ καλέσας εἰς τὴν χάριν (αὐτοῦ)"
"Gal","1","16","3.01","ἀποκαλύψαι τὸν υἱὸν αὐτοῦ ἐν ἐμοὶ ἵνα εὐαγγελίζωμαι αὐτὸν ἐν τοῖς ἔθνεσιν εὐθέως οὐ προσανεθέμην σαρκὶ καὶ αἵματι"
