"book","chapter","verse","edition","text" 
"Ev","3","01a","2.02","ἐν@pd ὁ@ddns πεντεκαιδέκατος@aodnsn ἔτος@ndnsc Τιβέριος@ngmsp Καῖσαρ@ngmsp ἐπί@pg ὁ@dgmp χρόνος@ngmpc (Πόντιος@ngmsp) Πιλᾶτος@ngmsp" 
"Ev","4","31","2.02","κατέρχομαι@viaa3s ὁ@dnms Ἰησοῦς@nnmsp εἰς@pa Καφαρναούμ@nafsp πόλις@nafsc ὁ@dgfs Γαλιλαία@ngfsp καί@cc εἰμί@viia3s διδάσκω@vppanms () ἐν@pd ὁ@ddfs συναγωγή@ndfsc" 
"Ev","4","32","2.02","[καί@cc ἐκπλήσσω@viip3p ἐπί@pd ὁ@ddfs διδαχή@ndfsc αὐτός@rpgms ὅτι@cs ἐν@pd ἐξουσία@ndfsc εἰμί@viia3s ὁ@dnms λόγος@nnmsc αὐτός@rpgms]" 
"Ev","4","33","2.02","[καί@cc ἐν@pd ὁ@ddfs συναγωγή@ndfsc εἰμί@viia3s ἄνθρωπος@nnmsc ἔχω@vppanms πνεῦμα@nansc δαιμόνιον@ngnsc ἀκάθαρτος@angnsn καί@cc ἀνακράζω@viaa3s φωνή@ndfsc μέγας@andfsn]" 
"Ev","4","34","2.02","[τίς@rqnns ἐγώ@rpd-p καί@cc σύ@rpd-s Ἰησοῦς@nvmsp ἔρχομαι@viaa2s ἀπόλλυμι@vnaa ἐγώ@rpa-p οἶδα@vixa1s σύ@rpa-s τίς@rqnms εἰμί@vipa2s ὁ@dnms ἅγιος@annmsn ὁ@dgms θεός@ngmsc]" 
"Ev","4","35","2.02","[καί@cc ἐπιτιμάω@viaa3s αὐτός@rpdns ὁ@dnms Ἰησοῦς@nnmsp λέγω@vppanms φιμόω@vdap2s καί@cc ἐξέρχομαι@vdaa2s ἀπό@pg αὐτός@rpgms καί@cc ῥίπτω@vpaanns αὐτός@rpams ὁ@dnns δαιμόνιον@nnnsc εἰς@pa ὁ@dans μέσος@anansn ἐξέρχομαι@viaa3s ἀπό@pg αὐτός@rpgms μηδείς@rians βλάπτω@vpaanns αὐτός@rpams]" 
"Ev","4","16","2.02","καί@cc ἔρχομαι@viaa3s εἰς@pa Ναζαρά@nafsp καί@cc εἰσέρχομαι@viaa3s (κατά@pa ὁ@dans εἴωθα@vpxaans αὐτός@rpdms) ἐν@pd ὁ@ddfs ἡμέρα@ndfsc ὁ@dgnp σάββατον@ngnpc εἰς@pa ὁ@dafs συναγωγή@nafsc" 
"Ev","4","23a","2.02","[καί@cc λέγω@viaa3s πρός@pa αὐτός@rpamp πάντως@b λέγω@vifa2p ἐγώ@rpd-s ὁ@dafs παραβολή@nafsc οὗτος@rdafs ἰατρός@nvmsc θεραπεύω@vdaa2s σεαυτοῦ@rxams]" 
"Ev","4","28","2.02","[καί@cc πίμπλημι@viap3p πᾶς@ainmpn θυμός@ngmsc ἐν@pd ὁ@ddfs συναγωγή@ndfsc ἀκούω@vppanmp οὗτος@rdanp]" 
"Ev","4","29","2.02","[καί@cc ἀνίστημι@vpaanmp ἐκβάλλω@viaa3p αὐτός@rpams ἔξω@pg ὁ@dgfs πόλις@ngfsc καί@cc ἄγω@viaa3p αὐτός@rpams ἕως@pg ὀφρύς@ngfsc ὁ@dgns ὄρος@ngnsc ἐπί@pg ὅς@rrgns ὁ@dnfs πόλις@nnfsc οἰκοδομέω@viyp3s αὐτός@rpgmp ὥστε@cs κατακρημνίζω@vnaa αὐτός@rpams]" 
"Ev","4","30","2.02","[αὐτός@rtnms δέ@cc διέρχομαι@vpaanms διά@pg μέσος@angnsn αὐτός@rpgmp πορεύομαι@viim3s]" 
"Ev","4","40","2.02","[δύνω@vppagms δέ@cc ὁ@dgms ἥλιος@ngmsc πᾶς@ainmpn ὅσος@rrnmp ἔχω@viia3p ἀσθενέω@vppaamp νόσος@ndfpc ποικίλος@andfpn ἄγω@viaa3p αὐτός@rpamp πρός@pa αὐτός@rpams ὁ@dnms δέ@cc εἷς@acdmsn ἕκαστος@aidmsn αὐτός@rpgmp ὁ@dafp χείρ@nafpc ἐπιτίθημι@vppanms θεραπεύω@viia3s αὐτός@rpamp]" 
